game_type,map_type,win_point
1,Range_Main,"[[147376.21875, 139481.96875]]"
4,Savage_Main,"[[170921.234375, 113205.53125], [170768.4375, 112813.53125]]"
2,Savage_Main,"[[202599.359375, 177105.078125], [201371.28125, 176869.53125]]"
1,Desert_Main,"[[569662.0625, 304573.75]]"
2,Erangel_Main,"[[453490.78125, 445098.78125], [457251.15625, 446375.0625]]"
4,Desert_Main,"[[240357.15625, 364864.0625], [240372.015625, 364641.625]]"
1,Savage_Main,"[[226176.296875, 117673.6171875]]"
2,Erangel_Main,"[[218530.78125, 500752.3125]]"
4,Erangel_Main,"[[626701.0625, 418205.4375], [636335.875, 415144.71875], [637335.875, 415205.9375]]"
4,Savage_Main,"[[184238.890625, 277001.625], [184451.46875, 275998.5], [184104.671875, 275864.5625], [183934.875, 276439.15625]]"
2,Desert_Main,"[[392798.03125, 254176.546875], [392633.875, 253615.609375]]"
4,Erangel_Main,"[[240174.28125, 269250.34375], [245375.328125, 274709.5], [247344.3125, 274013.21875], [246709.03125, 278760.0625]]"
4,Desert_Main,"[[252501.828125, 282089.28125], [251227.28125, 280089.90625]]"
4,Savage_Main,"[[152403.46875, 289034.53125], [153374.65625, 283384.96875]]"
1,Savage_Main,"[[280028.5625, 226639.140625]]"
1,Erangel_Main,"[[325737.21875, 198610.109375]]"
1,Range_Main,[]
4,Desert_Main,"[[399602.125, 554809.6875], [393405.90625, 542794.75], [393646.65625, 542675.375], [397752.875, 549784.75]]"
4,Savage_Main,"[[213818.296875, 164011.96875], [214135.234375, 163850.875], [214088.59375, 163326.859375]]"
2,Desert_Main,"[[405965.78125, 71604.328125], [405629.125, 71335.4296875]]"
2,Savage_Main,"[[214454.953125, 254323.109375]]"
4,Savage_Main,"[[304747.78125, 174930.859375], [304502.96875, 175828.234375]]"
2,Savage_Main,"[[279830.9375, 181158.390625], [279182.875, 180318.84375]]"
4,Erangel_Main,"[[436914.4375, 466502.0625]]"
2,Desert_Main,"[[130977.0078125, 413922.90625]]"
4,Erangel_Main,"[[141793.359375, 499308.5], [143458.75, 499026.3125], [141732.90625, 498069.28125]]"
4,Desert_Main,"[[374828.03125, 554986.9375], [372835.34375, 553759.0625], [377279.71875, 556925.1875], [380349.28125, 554661.625]]"
2,Erangel_Main,"[[432264.78125, 492851.625], [432675.28125, 492532.875]]"
1,Range_Main,"[[139864.53125, 138060.9375], [122776.40625, 138434.59375]]"
1,Savage_Main,"[[193633.71875, 228869.59375]]"
4,Savage_Main,"[[188261.09375, 261036.859375], [186867.4375, 260578.09375], [187092.4375, 260532.53125], [187735.328125, 260413.234375]]"
1,Savage_Main,"[[193524.28125, 145230.34375]]"
4,Erangel_Main,"[[249396.046875, 560314.5625], [241778.359375, 554031.75]]"
2,Savage_Main,"[[264061.90625, 118686.7265625], [261753.546875, 117785.828125]]"
4,Savage_Main,"[[209143.234375, 107183.5859375], [211648.75, 107099.265625]]"
1,Savage_Main,"[[325820.6875, 146902.84375]]"
2,Desert_Main,"[[375125.0625, 283610.0625], [374891.59375, 283891.9375]]"
2,Savage_Main,"[[223539.890625, 143783.21875], [224913.3125, 143951.359375]]"
4,Desert_Main,"[[-32783.328125, 554671.8125]]"
2,Desert_Main,"[[127334.9453125, 500798.28125]]"
4,Erangel_Main,"[[560055, 216687.9375], [557409, 208898.21875], [558113.125, 205292.96875]]"
4,Savage_Main,"[[257776.8125, 129536.109375], [259496.453125, 129127.9375], [258763.171875, 130466.2578125]]"
1,Range_Main,"[[146332.6875, 139387.25], [85822.8515625, 57305.3203125], [143308.84375, 138376.59375]]"
4,Desert_Main,"[[213903.609375, 424887.03125]]"
2,Savage_Main,"[[152806.5, 250311.078125], [150637.515625, 250807.796875]]"
4,Savage_Main,"[[123315.40625, 160813.34375], [124093.6484375, 160941.546875]]"
2,Savage_Main,"[[107220.5859375, 302644.96875], [102361.28125, 302661.9375]]"
2,Erangel_Main,"[[160604.59375, 585754.9375], [160406.828125, 586107.0625]]"
1,Savage_Main,"[[328722.71875, 166362.421875]]"
1,Savage_Main,"[[214621.828125, 213242.390625]]"
1,Range_Main,"[[144367.03125, 144768.53125]]"
4,Desert_Main,"[[621590.1875, 443873.59375], [622563.1875, 442664.1875]]"
4,Erangel_Main,"[[674844.9375, 338603.5], [667790.625, 338130.4375], [669398, 339476.90625]]"
4,Savage_Main,"[[331679.1875, 167172.375], [330557.875, 166420.296875], [330799.0625, 166220.1875], [330673.59375, 166301.078125]]"
2,Erangel_Main,"[[690747.8125, 233563.421875]]"
4,Savage_Main,"[[346297.46875, 251782.953125], [347056.34375, 252488.65625], [345911.4375, 253143.28125]]"
1,Savage_Main,"[[110027.765625, 172286.203125]]"
2,Desert_Main,"[[645243.875, 566541.1875]]"
4,Desert_Main,"[[258097.75, 470699.4375]]"
4,Savage_Main,"[[123516.3203125, 139755.515625]]"
2,Savage_Main,"[[127098.515625, 281436.3125], [126815.3359375, 281607.15625]]"
4,Erangel_Main,"[[489010.90625, 357740.1875], [487910.34375, 357064.21875], [491457.875, 357112.78125]]"
4,Desert_Main,"[[289165.1875, 674809.1875], [291776.0625, 675331.375]]"
4,Savage_Main,"[[241383.03125, 286070.84375], [241326.25, 286630.84375]]"
1,Savage_Main,"[[340414.46875, 259141.515625]]"
4,Erangel_Main,"[[347154.125, 136829.75], [355236.5, 132073.828125]]"
4,Erangel_Main,"[[234084.515625, 434126.71875], [237236.609375, 433264.875]]"
2,Erangel_Main,"[[549305.375, 194275.359375]]"
1,Range_Main,[]
1,Erangel_Main,"[[602719.75, 430102.90625]]"
2,Savage_Main,"[[150432.46875, 258522.796875], [149046.484375, 263982.0625]]"
2,Savage_Main,"[[268121.65625, 210067.296875]]"
1,Desert_Main,"[[669543.5, 469264.78125]]"
1,Erangel_Main,"[[402927.78125, 325948.09375]]"
2,Savage_Main,"[[318045.375, 79306.015625]]"
4,Erangel_Main,"[[650823.875, 467714.75]]"
